Linguagem;Algoritmo;Tamanho;Tempo;Repeticao
Python;SelectionSort;100;0.00021890000061830506;1
Python;SelectionSort;100;0.00021740000011050142;2
Python;SelectionSort;100;0.00020079999740119092;3
Python;SelectionSort;100;0.0002116999967256561;4
Python;SelectionSort;100;0.0002243999988422729;5
Python;SelectionSort;100;0.0002027000009547919;6
Python;SelectionSort;100;0.00021130000095581636;7
Python;SelectionSort;100;0.00021610000112559646;8
Python;SelectionSort;100;0.0002041000007011462;9
Python;SelectionSort;100;0.00020869999934802763;10
Python;SelectionSort;100;0.00020479999875533395;11
Python;SelectionSort;100;0.000210899997910019;12
Python;SelectionSort;100;0.00020369999765534885;13
Python;SelectionSort;100;0.0002037999984167982;14
Python;SelectionSort;100;0.0002041000007011462;15
Python;SelectionSort;100;0.00021859999833395705;16
Python;SelectionSort;100;0.00020320000112405978;17
Python;SelectionSort;100;0.0002175999979954213;18
Python;SelectionSort;100;0.0002055000004475005;19
Python;SelectionSort;100;0.00021460000061779283;20
Python;SelectionSort;100;0.00020589999985531904;21
Python;SelectionSort;100;0.00021869999909540638;22
Python;SelectionSort;100;0.00020120000044698827;23
Python;SelectionSort;100;0.0002133999987563584;24
Python;SelectionSort;100;0.00021270000070217066;25
Python;SelectionSort;100;0.00021109999943291768;26
Python;SelectionSort;100;0.0002032999982475303;27
Python;SelectionSort;100;0.00020840000070165843;28
Python;SelectionSort;100;0.00021329999799490906;29
Python;SelectionSort;100;0.00020709999807877466;30
Python;SelectionSort;100;0.00020219999714754522;31
Python;SelectionSort;100;0.0002193000000261236;32
Python;SelectionSort;100;0.00020790000053239055;33
Python;SelectionSort;100;0.0002089000008709263;34
Python;SelectionSort;100;0.00020850000146310776;35
Python;SelectionSort;100;0.00020320000112405978;36
Python;SelectionSort;100;0.0002117000003636349;37
Python;SelectionSort;100;0.00020880000010947697;38
Python;SelectionSort;100;0.00020740000036312267;39
Python;SelectionSort;100;0.000221800000872463;40
Python;SelectionSort;100;0.0002061000013782177;41
Python;SelectionSort;100;0.00020340000264695846;42
Python;SelectionSort;100;0.00020339999900897965;43
Python;SelectionSort;100;0.0002096999996865634;44
Python;SelectionSort;100;0.00021289999858709052;45
Python;SelectionSort;100;0.00020959999892511405;46
Python;SelectionSort;100;0.00021700000070268288;47
Python;SelectionSort;100;0.0002252000012958888;48
Python;SelectionSort;100;0.0002133999987563584;49
Python;SelectionSort;100;0.00020320000112405978;50
Python;SelectionSort;100;0.00023230000078910962;51
Python;SelectionSort;100;0.0002111000030708965;52
Python;SelectionSort;100;0.00021740000011050142;53
